Time;Event;Name;MyEnergie;MyGunHeat;MyGunHeading;MyHeading;MyRadarHeading;MyVelocity;EnemyName;Energy;Distance;Bearing;Heading;Velocity;Rank
1;ScannedRobot;CyberSquad.Manivela*;100,00;2,90;264,82;269,82;294,82;0,00;sample.MyFirstRobot;100,00;2,90;264,82;269,82;1,00;0
2;ScannedRobot;CyberSquad.Manivela*;100,00;2,80;282,60;274,82;282,60;0,50;sample.MyFirstRobot;100,00;2,80;282,60;274,82;2,00;0
3;ScannedRobot;CyberSquad.Manivela*;100,00;2,70;282,97;279,82;282,97;1,00;sample.MyFirstRobot;100,00;2,70;282,97;279,82;3,00;0
4;ScannedRobot;CyberSquad.Manivela*;100,00;2,60;283,50;284,82;283,50;1,50;sample.MyFirstRobot;100,00;2,60;283,50;284,82;4,00;0
5;ScannedRobot;CyberSquad.Manivela*;100,00;2,50;284,19;289,82;284,19;2,00;sample.MyFirstRobot;100,00;2,50;284,19;289,82;5,00;0
6;ScannedRobot;CyberSquad.Manivela*;100,00;2,40;285,02;294,82;285,02;2,25;sample.MyFirstRobot;100,00;2,40;285,02;294,82;6,00;0
7;ScannedRobot;CyberSquad.Manivela*;100,00;2,30;285,99;299,82;285,99;2,50;sample.MyFirstRobot;100,00;2,30;285,99;299,82;7,00;0
8;ScannedRobot;CyberSquad.Manivela*;100,00;2,20;287,07;304,82;287,07;2,75;sample.MyFirstRobot;100,00;2,20;287,07;304,82;8,00;0
9;ScannedRobot;CyberSquad.Manivela*;100,00;2,10;288,26;309,82;288,26;3,00;sample.MyFirstRobot;100,00;2,10;288,26;309,82;8,00;0
10;ScannedRobot;CyberSquad.Manivela*;100,00;2,00;289,38;314,82;289,38;3,25;sample.MyFirstRobot;100,00;2,00;289,38;314,82;8,00;0
11;ScannedRobot;CyberSquad.Manivela*;99,40;1,90;290,43;319,82;290,43;3,50;sample.MyFirstRobot;99,40;1,90;290,43;319,82;0,00;0
12;ScannedRobot;CyberSquad.Manivela*;99,40;1,80;290,10;324,82;290,10;3,74;sample.MyFirstRobot;99,40;1,80;290,10;324,82;0,00;0
13;ScannedRobot;CyberSquad.Manivela*;98,80;1,70;289,69;329,82;289,69;3,99;sample.MyFirstRobot;98,80;1,70;289,69;329,82;0,00;0
14;ScannedRobot;CyberSquad.Manivela*;98,80;1,60;289,20;334,82;289,20;4,16;sample.MyFirstRobot;98,80;1,60;289,20;334,82;0,00;0
15;ScannedRobot;CyberSquad.Manivela*;98,80;1,50;288,62;339,82;288,62;4,33;sample.MyFirstRobot;98,80;1,50;288,62;339,82;0,00;0
16;ScannedRobot;CyberSquad.Manivela*;98,20;1,40;287,95;344,82;287,95;4,49;sample.MyFirstRobot;98,20;1,40;287,95;344,82;0,00;0
17;ScannedRobot;CyberSquad.Manivela*;97,60;1,30;287,21;349,82;287,21;4,66;sample.MyFirstRobot;97,60;1,30;287,21;349,82;0,00;0
18;ScannedRobot;CyberSquad.Manivela*;97,00;1,20;286,38;354,82;286,38;4,82;sample.MyFirstRobot;97,00;1,20;286,38;354,82;0,00;0
19;ScannedRobot;CyberSquad.Manivela*;97,00;1,10;285,48;359,82;285,48;4,98;sample.MyFirstRobot;97,00;1,10;285,48;359,82;0,00;0
20;ScannedRobot;CyberSquad.Manivela*;96,40;1,00;284,51;4,82;284,51;5,15;sample.MyFirstRobot;96,40;1,00;284,51;4,82;0,00;0
21;ScannedRobot;CyberSquad.Manivela*;96,40;0,90;283,48;9,82;283,48;5,31;sample.MyFirstRobot;96,40;0,90;283,48;9,82;0,00;0
22;ScannedRobot;CyberSquad.Manivela*;96,40;0,80;282,41;14,82;282,41;5,47;sample.MyFirstRobot;96,40;0,80;282,41;14,82;0,00;0
23;ScannedRobot;CyberSquad.Manivela*;95,80;0,70;281,30;19,82;281,30;5,64;sample.MyFirstRobot;95,80;0,70;281,30;19,82;0,00;0
24;ScannedRobot;CyberSquad.Manivela*;95,80;0,60;280,17;24,82;280,17;5,80;sample.MyFirstRobot;95,80;0,60;280,17;24,82;0,00;0
25;ScannedRobot;CyberSquad.Manivela*;95,20;0,50;279,04;29,82;279,04;5,96;sample.MyFirstRobot;95,20;0,50;279,04;29,82;0,00;0
26;ScannedRobot;CyberSquad.Manivela*;95,20;0,40;277,93;34,82;277,93;6,09;sample.MyFirstRobot;95,20;0,40;277,93;34,82;0,00;0
27;ScannedRobot;CyberSquad.Manivela*;94,60;0,30;276,86;39,82;276,86;6,21;sample.MyFirstRobot;94,60;0,30;276,86;39,82;0,00;0
28;ScannedRobot;CyberSquad.Manivela*;94,60;0,20;275,84;44,82;275,84;6,33;sample.MyFirstRobot;94,60;0,20;275,84;44,82;0,00;0
29;ScannedRobot;CyberSquad.Manivela*;94,00;0,10;274,89;49,82;274,89;6,45;sample.MyFirstRobot;94,00;0,10;274,89;49,82;0,00;0
30;ScannedRobot;CyberSquad.Manivela*;94,00;0,00;274,03;54,82;274,03;6,57;sample.MyFirstRobot;94,00;0,00;274,03;54,82;0,00;0
31;ScannedRobot;CyberSquad.Manivela*;94,00;1,50;273,25;59,82;273,25;6,69;sample.MyFirstRobot;94,00;1,50;273,25;59,82;-1,00;0
32;ScannedRobot;CyberSquad.Manivela*;94,00;1,40;272,40;64,80;272,40;6,81;sample.MyFirstRobot;94,00;1,40;272,40;64,80;-2,00;0
